FirstName,LastName,Age,GPA,Father Name, Mother Name,Address,PhoneNumber, Date
Sheldon,Cooper,5,4,Cooper,Mary,Dallas,9132567880,2016-08-16
Leonard,Hofstadter,7,3.8,Hofstadter,Beverly,Jersey City,7049178554,2019-09-26
Howard,Wolowitz,2,3.9,Tim,Laura,Pasadena,4156724332,2019-7-2
Rajesh,Koothrappali,3,3.6,Shankar,Shoumya,Raleigh,8045784316,2019-5-15
Adwait,Tare,4,3.5,Rajesh,Seema,Philadelpheia,6234567189,2020-06-23
Rishab,Modi,3,3.3,Mehul,Tina,Greensboro,6234890754,2020-9-3
Vennela,Sai,3,3.4,Sanket,Meena,Charlotte,7049164578,2019-8-22
Scott,Timothy,4,2.8,Kevin,Kim,Boston,6178576456,2020-6-12
Aline,Rose,3,2.9,Dannon,Kendell,Los Angeles,7852341668,2021-5-27
Gwen,Mcrath,10,3.6,Bob,Kylie,Calabassas,6178945967,2016-9-14
Priscila,Wong,5,3.1,Mike,Kristen,Gainsville,7862134588,2019-8-24
Kayle,Lee,4,3.6,Nick,Mary,Blacksburg,6554223117,2020-12-7
Jack,Khoury,7,2.5,Cole,Hailey,Pittsburgh,8632104678,2019-08-30
Kevin,Melsis,6,2.8,Micheal,Shiloh,Cleveland,3678902345,2019-7-17
Dela,Avdih,8,2.5,Zack,Angelina ,Chicago,7841355566,2019-7-19
Angela,Dcosta,3,2.9,Cody,Jennifer ,Austin,8234172992,2020-8-20
Ana,Roder,9,2.7,Karan,Courtney,Dallas,9236178456,2020-9-19
Selena,Gomez,3,3.2,Kabir,Lisa,Arlington,4610870632,2020-10-20
Ana ,Grey,4,3.3,Bucky,Lily,New York City,5187455290,2021-5-11
Addison,Brown,5,3.7,Brad,Bennita,San Francisco,2134589031,2020-11-13
Ryan,Johnson,7,3.9,Mosh,Diana ,New York City,2047156788,2019-11-9
Aman,Dave,1,3.8,Corey,Margaret,New Orleans,7963462134,2021-9-16
Sean,Baldwin,5,3.6,Travis,Grace,San Diego,6722355689,2019-3-12
Camilla,Parker,1,3.4,Kanye,North,Washington,9133899045,2021-8-13
Elizabeth,Windsor,4,3.7,Tristan,Chi,Seattle,2014357890,2020-4-14
Shawn,Mendes,2,2.9,Devin,Khloe,Denver ,1013567233,2021-4-24
Brittany,Spears,2,2.6,Harry,Darla,Detroit,6173732772,2021-7-12
Lindsay,Lohan,6,4,Zayn,Gigi,San Jose,6173734554,2020-9-18
Cheryl,Shadwick,10,3.6,Liam,Bella,Atlanta,6173435409,2018-11-12
Trelli,Bob,6,3.5,Niall,Yolanda,Nashville,2041265688,2021-6-10
